,IMO,Name,Ship type,Technical efficiency,Ice Class,Total fuel consumption [m tonnes],Fuel consumptions assigned to On laden [m tonnes],Total CO₂ emissions [m tonnes],CO₂ emissions from all voyages between ports under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages which departed from ports under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages to ports under a MS jurisdiction [m tonnes],CO₂ emissions which occurred within ports under a MS jurisdiction at berth [m tonnes],CO₂ emissions assigned to Passenger transport [m tonnes],CO₂ emissions assigned to Freight transport [m tonnes],CO₂ emissions assigned to On laden [m tonnes],Annual Time spent at sea [hours],Annual average Fuel consumption per distance [kg / n mile],Annual average Fuel consumption per transport work (mass) [g / m tonnes · n miles],Annual average Fuel consumption per transport work (volume) [g / m³ · n miles],Annual average Fuel consumption per transport work (dwt) [g / dwt carried · n miles],Annual average CO₂ emissions per distance [kg CO₂ / n mile],Annual average CO₂ emissions per transport work (mass) [g CO₂ / m tonnes · n miles],Annual average CO₂ emissions per transport work (volume) [g CO₂ / m³ · n miles],Annual average CO₂ emissions per transport work (dwt) [g CO₂ / dwt carried · n miles],Through ice [n miles],Time spent at sea [hours],Total time spent at sea through ice [hours],Fuel consumption per distance on laden voyages [kg / n mile],Fuel consumption per transport work (mass) on laden voyages [g / m tonnes · n miles],Fuel consumption per transport work (volume) on laden voyages [g / m³ · n miles],Fuel consumption per transport work (dwt) on laden voyages [g / dwt carried · n miles],Fuel consumption per transport work (pax) on laden voyages [g / pax · n miles],Fuel consumption per transport work (freight) on laden voyages [g / m tonnes · n miles],CO₂ emissions per distance on laden voyages [kg CO₂ / n mile],CO₂ emissions per transport work (mass) on laden voyages [g CO₂ / m tonnes · n miles],CO₂ emissions per transport work (volume) on laden voyages [g CO₂ / m³ · n miles],CO₂ emissions per transport work (dwt) on laden voyages [g CO₂ / dwt carried · n miles],CO₂ emissions per transport work (pax) on laden voyages [g CO₂ / pax · n miles],CO₂ emissions per transport work (freight) on laden voyages [g CO₂ / m tonnes · n miles],Additional information to facilitate the understanding of the reported average operational energy efficiency indicators,Average density of the cargo transported [m tonnes / m³],name,ship_type,length,breadth,draught,year_built,gross_tonnage,deadweight,engine_type,engine_model,engine_power,max_speed,avg_speed
0,6703343,EQUALITY,Other ship types,EIV (57.84 gCO₂/t·nm),,373.5,,1184.62,0.0,889.0,247.0,48.0,,,,594.0,70.25,66.44,,34.46,222.8,210.74,,109.29,,594.0,,,,,,,,,,,,,,,,EQUALITY,Other ship types,124.0,17.0,5.6 m,1966.0,6542.0,2045.0,,,,12.4,9.9
1,7037806,IONIAN STAR,Ro-pax ship,EIV (19.4 gCO₂/t·nm),,1902.0,,6097.81,5440.71,0.0,0.0,657.23,3264.35,2176.23,,1771.0,82.04,,,,263.01,,,,,1771.0,,,,,,,,,,,,,,,,IONIAN STAR,Ro-pax ship,123.0,19.0,5.2 m,1971.0,9149.0,1968.0,,,,11.8,10.9
2,7043843,TALOS,Ro-ro ship,EIV (48.71 gCO₂/t·nm),,2081.79,,6674.22,6431.85,0.0,0.0,242.37,,,,2992.36,57.72,216.85,,,185.05,695.22,,,,2992.36,,,,,,,,,,,,,,,,TALOS,Ro-ro ship,124.0,19.0,4.2 m,1971.0,7171.0,2838.0,,,,13.9,13.9
3,7128332,SEA WIND,Ro-pax ship,EIV (9.29 gCO₂/t·nm),IB,3299.89,,10454.38,8265.5,0.0,0.0,2001.71,2082.82,6182.66,,2737.0,93.47,,,,296.12,,,,,2737.0,,,,,,,,,,,,,,,,SEA WIND,Ro-pax ship,154.0,21.0,,1972.0,15879.0,4000.0,,,,,
4,7226952,FJARDVAGEN,Ro-ro ship,EIV (43 gCO₂/t·nm),IA,1670.56,,5355.81,4596.6,0.0,0.0,759.2,,,,2494.0,49.13,78.18,,,157.51,250.63,,,,2494.0,,,,,,,,,,,,,,,,FJARDVAGEN,Ro-ro ship,108.0,20.0,3.8 m,1972.0,6040.0,2566.0,,,,14.7,13.9
5,7230599,MARKO POLO,Ro-pax ship,EIV (45 gCO₂/t·nm),,3170.21,,10163.69,8047.09,0.0,0.0,2116.6,8047.09,8047.09,,2229.75,116.24,,,,372.65,,,,,2229.75,,,,,,,,,,,,,,,,MARKO POLO,Ro-pax ship,128.0,19.0,5 m,1973.0,10154.0,1132.0,,,,14.4,13
6,7310507,FIDELITY,Other ship types,EIV (31.13 gCO₂/t·nm),,860.3,,2720.3,0.0,1585.0,1094.0,41.0,,,,1431.0,52.6,179.19,,54.6,166.32,566.6,,172.65,,1431.0,,,,,,,,,,,,,,,,FIDELITY,Other ship types,115.0,15.0,6.3 m,1973.0,5395.0,5579.0,MAN-B&W,7S50MC-C,10010 KW,13.5,11.5
7,7325095,LAMPEDUSA,Ro-pax ship,EIV (35.34 gCO₂/t·nm),,1829.99,,5866.95,2746.19,0.0,0.0,3120.74,41.52,5825.43,,1272.25,111.85,,,,358.58,,,,,1272.25,,,,,,,,,,,,,,,,LAMPEDUSA,Ro-pax ship,125.0,18.0,5 m,1974.0,9183.0,2254.0,Fiat,,14000 KW,12.2,11
8,7346221,SUPERFERRY II,Ro-pax ship,EIV (44.89 gCO₂/t·nm),,6413.11,,20072.86,20070.87,0.0,0.0,0.0,2476.74,17596.12,,3090.3,132.45,,,,414.57,,,,,3090.3,,,,,,,,,,,,,,,,SUPERFERRY II,Ro-pax ship,121.0,19.0,4.7 m,1974.0,4986.0,1029.0,,,,19,18.9
9,7349039,CORSICA MARINA SECONDA,Ro-pax ship,EIV (11.49 gCO₂/t·nm),,3450.4,,10986.29,7149.78,1881.72,1172.88,781.88,1188.52,6749.99,,2288.92,104.84,,,,333.82,,,,,2288.92,,,,,,,,,,,,,,,,CORSICA MARINA SECONDA,Ro-pax ship,120.0,21.0,5.4 m,1974.0,12035.0,2151.0,,,,15.5,11.8
10,7350090,MOBY NIKI,Ro-pax ship,EIV (7.61 gCO₂/t·nm),,2538.8,,8019.53,5630.94,0.0,0.0,2388.59,6784.51,1235.02,,1582.27,118.43,,,,374.1,,,,,1582.27,,,,,,,,,,,,,,,,MOBY NIKI,Ro-pax ship,118.0,20.0,4.8 m,1974.0,9182.0,1185.0,,,,16.4,15.2
11,7358755,MOBY KISS,Ro-pax ship,EIV (7.31 gCO₂/t·nm),,2415.88,,7610.02,5637.63,0.0,0.0,1972.39,7031.65,578.37,,1495.2,127.19,,,,400.63,,,,,1495.2,,,,,,,,,,,,,,,,MOBY KISS,Ro-pax ship,117.0,20.0,4.6 m,1975.0,11907.0,1560.0,,,,14.8,12.7
12,7360605,MOBY VINCENT,Ro-pax ship,EIV (10.47 gCO₂/t·nm),,2026.19,,6378.12,4849.66,0.0,0.0,1528.46,5574.48,803.64,,1096.67,128.55,,,,404.65,,,,,1096.67,,,,,,,,,,,,,,,,MOBY VINCENT,Ro-pax ship,120.0,21.0,5.2 m,1974.0,12187.0,2541.0,,,,15.5,14.2
13,7360681,MOBY BABY TWO,Ro-pax ship,EIV (18.19 gCO₂/t·nm),,2288.08,,7199.88,5713.2,0.0,0.0,1486.68,6479.88,720.0,,1632.56,112.21,,,,353.09,,,,,1632.56,,,,,,,,,,,,,,,,MOBY BABY TWO,Ro-pax ship,118.0,18.0,5 m,1974.0,5226.0,990.0,,,,14.5,12.7
14,7361312,MOBY DREA,Ro-pax ship,EIV (5.93 gCO₂/t·nm),IC,4606.31,,14445.05,11371.97,0.0,0.0,3073.11,14445.05,,,853.34,283.92,,,,890.35,,,,,853.34,,,,,,,,,,,,,,,,MOBY DREA,Ro-pax ship,183.0,26.0,,1975.0,22528.0,3335.0,,,,,
15,7361324,MOBY OTTA,Ro-pax ship,EIV (5.56 gCO₂/t·nm),IC,8301.41,,25980.3,22412.67,0.0,0.0,3567.69,24759.22,1221.08,,2031.43,223.16,,,,698.42,,,,,2031.43,,,,,,,,,,,,,,,,MOBY OTTA,Ro-pax ship,183.0,26.0,5.6 m,1976.0,22528.0,3335.0,,,,20.1,18.2
16,7382378,GIUSEPPE SA,Ro-pax ship,EIV (13.3 gCO₂/t·nm),,431.64,,1378.8,200.63,0.0,0.0,1178.17,256.44,1122.36,,48.8,642.32,,,,2051.79,,,,,48.8,,,,,,,,,,,,,,,,GIUSEPPE SA,Ro-pax ship,167.0,21.0,,1975.0,12804.0,10320.0,,,,,
17,7407324,ELEVATION,Other ship types,EIV (42.41 gCO₂/t·nm),,2875.4,,9070.51,0.0,5331.0,3669.0,71.0,,,,1878.0,102.04,72,,51.02,321.9,227.13,,160.94,,1878.0,,,,,,,,,,,,,,,,ELEVATION,Other ship types,187.0,22.0,9.4 m,1976.0,24831.0,8405.0,,,,15.4,13.3
18,7422881,YEOMAN BANK,Bulk carrier,EIV (8.54 gCO₂/t·nm),,3536.66,,11124.22,1212.5,5109.15,4616.1,186.46,,,,3632.23,93.06,5.5,,,292.7,17.29,,,,3632.23,,,,,,,,,,,,,,,,YEOMAN BANK,Bulk carrier,204.0,27.0,11.9 m,1982.0,24870.0,43728.0,,,14200 KW,10.7,9
19,7426045,KEFALONIA,Ro-pax ship,EIV (49.69 gCO₂/t·nm),,3139.21,,9928.86,8394.76,0.0,0.0,1534.15,627.15,9301.71,,2176.0,97.45,,,,308.23,,,,,2176.0,,,,,,,,,,,,,,,,KEFALONIA,Ro-pax ship,120.0,20.0,5.2 m,1975.0,3924.0,1713.0,,,,5.4,3.8
20,7504598,BADER III,Other ship types,EIV (35.82 gCO₂/t·nm),,1600.0,,4995.93,0.0,3150.92,1649.44,195.57,,,,1046.1,127.19,56.43,,Division by zero!,397.13,176.19,,Division by zero!,,1046.1,,,,,,,,,,,,,,,,BADER III,Other ship types,204.0,26.0,,1978.0,36387.0,26762.0,,,,,
21,7516773,GALAXY,Ro-pax ship,EIV (215.79 gCO₂/t·nm),,1718.08,,5438.08,0.0,2124.47,1938.59,1357.03,5438.08,5438.08,,1965.57,77.88,,,,246.5,,,,,1965.57,,,,,,,,,,,,,,,,GALAXY,Ro-pax ship,127.0,19.0,0 m,1979.0,10553.0,1571.0,Sulzer,,12600 KW,13.6,13.2
22,7527306,BOI BRANCO,Other ship types,EIV (40.94 gCO₂/t·nm),,1657.59,,5237.88,410.34,3340.46,1410.13,74.0,,,,2660.0,49.36,97.62,,Division by zero!,155.96,308.46,,Division by zero!,,2660.0,,,,,,,,,,,,,,,,BOI BRANCO,Other ship types,137.0,18.0,6.7 m,1976.0,9998.0,4728.0,,,,14.8,12.5
23,7528611,PELAGITIS,Ro-ro ship,EIV (58.25 gCO₂/t·nm),,6217.6,5719.3,19647.51,18049.96,0.0,0.0,1597.55,,,18049.96,4636.0,114.9,54.72,,,363.09,172.9,,,,4636.0,,105.69,50.33,,,,,333.57,158.84,,,,,,,PELAGITIS,Ro-ro ship,151.0,20.0,6.7 m,1978.0,5363.0,8661.0,,,,13.7,12.5
24,7529976,GEROITE NA SEVASTOPOL,Ro-ro ship,EIV (32.5 gCO₂/t·nm),IB,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,Division by zero!,Division by zero!,,,Division by zero!,Division by zero!,,,,0.0,,,,,,,,,,,,,,,,GEROITE NA SEVASTOPOL,Ro-ro ship,185.0,26.0,6.5 m,1978.0,19518.0,13088.0,,,,10.2,9.5
25,7602089,AF FRANCESCA,Ro-pax ship,EIV (133 gCO₂/t·nm),,3818.55,,12242.27,0.0,5462.07,5568.35,1211.9,8683.16,3123.38,,1788.0,153.27,,,,491.38,,,,,1788.0,,,,,,,,,,,,,,,,AF FRANCESCA,Ro-pax ship,147.0,25.0,5.5 m,1979.0,19811.0,3250.0,,,,13.4,9.8
26,7602120,AURELIA,Ro-pax ship,EIV (38.12 gCO₂/t·nm),,4462.08,,14305.42,6611.86,3040.47,2768.83,1884.26,7581.9,6723.52,,3791.0,158.33,,,,507.6,,,,,3791.0,,,,,,,,,,,,,,,,AURELIA,Ro-pax ship,147.0,25.0,,1980.0,21518.0,3250.0,General Motors,A420.15V,14317 KW,,
27,7615048,DUBROVNIK,Ro-pax ship,EIV (3E+1 gCO₂/t·nm),,2825.91,,9059.87,4992.96,600.42,597.8,2598.81,6191.17,6191.17,,2228.75,115.4,,,,369.99,,,,,2228.75,,,,,,,,,,,,,,,,DUBROVNIK,Ro-pax ship,122.0,18.0,4.8 m,1979.0,9795.0,1310.0,MAK,8M453C,18000 KW,17.2,11.4
28,7615414,MOBY CORSE,Ro-pax ship,EIV (8.78 gCO₂/t·nm),,6720.81,,21075.24,18328.48,0.0,0.0,2746.76,14478.7,6596.54,,3133.27,142.8,,,,447.78,,,,,3133.27,,,,,,,,,,,,,,,,MOBY CORSE,Ro-pax ship,152.0,25.0,5.5 m,1978.0,19589.0,3440.0,,,,16.9,14.6
29,7622041,ZEIN I,Other ship types,EIV (39.82 gCO₂/t·nm),,1215.5,,3810.51,0.0,2750.22,996.48,63.8,,,,747.6,106.46,123.26,,Division by zero!,333.76,386.41,,Division by zero!,,747.6,,,,,,,,,,,,,,,,ZEIN I,Other ship types,163.0,22.0,8.5 m,1978.0,15608.0,10554.0,,,,13.9,12.2
30,7633143,POVL ANKER,Ro-pax ship,EIV (9.15 gCO₂/t·nm),IC,1382.47,,4432.2,2887.64,0.0,0.0,1544.54,3621.27,2355.48,,606.0,141.18,,,,452.63,,,,,606.0,,,,,,,,,,,,,,,,POVL ANKER,Ro-pax ship,121.0,24.0,4.6 m,1979.0,12358.0,1940.0,B&W,16u28lu,12474 KW,17.4,15
31,7633155,ECKERO,Ro-pax ship,EIV (42.43 gCO₂/t·nm),IB,4098.03,,13138.3,11017.97,0.0,0.0,2120.33,6989.58,6148.72,,3574.52,92.83,,,,297.6,,,,,3574.52,,,,,,,,,,,,,,,,ECKERO,Ro-pax ship,121.0,21.0,5 m,1979.0,12358.0,1940.0,,,,19,11.1
32,7633375,SUNNANVIK,Bulk carrier,EIV (17.9 gCO₂/t·nm),IA,4067.54,,12935.59,10360.6,424.62,816.86,1333.49,,,,5825.0,61.52,17.48,,,195.64,55.6,,,0.0,5825.0,0.0,,,,,,,,,,,,,,,SUNNANVIK,Bulk carrier,124.0,18.0,5.8 m,1978.0,7454.0,9157.0,,,6000 KW,15.5,9.2
33,7719430,MOROCCO SUN,Ro-pax ship,EIV (44.97 gCO₂/t·nm),,2766.98,,8870.94,0.0,4396.35,4139.76,334.0,54.44,8816.5,,2418.3,107.41,,,,344.36,,,,,2418.3,,,,,,,,,,,,,,,,MOROCCO SUN,Ro-pax ship,129.0,21.0,4.7 m,1980.0,12175.0,1895.0,,,,13.2,11.2
34,7724265,IOSIF K,Ro-ro ship,EIV (51.54 gCO₂/t·nm),,4805.59,,15406.72,15125.81,0.0,0.0,280.91,,,,4710.1,82.91,156.6,,,265.82,502.06,,,,4710.1,,,,,,,,,,,,,,,,IOSIF K,Ro-ro ship,133.0,21.0,4.5 m,1979.0,9368.0,5300.0,MAK,12M453AK,23310 KW,13.6,13.2
35,7802067,FESTIVO,Ro-ro ship,EIV (18.99 gCO₂/t·nm),IA,819.05,,2625.87,2080.85,0.0,0.0,545.02,,,,1867.0,45.41,101.64,,,145.58,325.87,,,,1867.0,,,,,,,,,,,,,,,,FESTIVO,Ro-ro ship,135.0,16.0,4.5 m,1979.0,6413.0,4616.0,,,,10.5,9
36,7803190,MOROCCO STAR,Ro-pax ship,EIV (47.92 gCO₂/t·nm),IC,4981.59,,15623.57,0.0,6010.32,6200.81,3412.19,95.84,15527.73,,2787.09,147.82,,,,463.59,,,,,2787.09,,,,,,,,,,,,,,,,MOROCCO STAR,Ro-pax ship,152.0,24.0,5.2 m,1980.0,16071.0,2971.0,B&W,4L67GFCA,22000 KW,17.1,16.4
37,7803205,KRONPRINS FREDERIK,Ro-pax ship,Not Applicable,IC,1570.0,,5033.42,5018.0,0.0,0.0,16.0,2800.12,2217.59,,985.0,152.95,,,,490.35,,,,,985.0,,,,,,,,,,,,,,,,KRONPRINS FREDERIK,Ro-pax ship,152.0,23.0,5.2 m,1981.0,16071.0,2671.0,,,,11.6,9.5
38,7807744,RIGEL III,Ro-pax ship,EIV (144.56 gCO₂/t·nm),,4807.98,,15399.21,0.0,7092.32,7447.9,862.09,7268.59,8130.62,,2427.98,138.64,,,,444.05,,,,,2427.98,,,,,,,,,,,,,,,,RIGEL III,Ro-pax ship,136.0,24.0,5.5 m,1979.0,16405.0,3100.0,Pielstick,10PC4-2V,17644 KW,16,15
39,7814046,KRITI I,Ro-pax ship,EIV (33.03 gCO₂/t·nm),,11118.44,,34896.66,25353.88,0.0,0.0,9542.79,244.09,34652.57,,3287.94,181.81,,,,570.63,,,,,3287.94,,,,,,,,,,,,,,,,KRITI I,Ro-pax ship,191.0,29.0,6.9 m,1979.0,27239.0,5398.0,,,,10.5,6.6
40,7814462,WAWEL,Ro-pax ship,EIV (51.21 gCO₂/t·nm),,10870.63,,34450.71,29725.5,0.0,0.0,4725.22,3272.81,31177.9,,5221.3,130.12,,,,412.39,,,,,5221.3,,,,,,,,,,,,,,,,WAWEL,Ro-pax ship,163.0,27.0,6.6 m,1980.0,25318.0,3501.0,Sulzer,7rla56,13020 KW,17,15.7
41,7825978,PHIVOS,Ro-pax ship,EIV (70.34 gCO₂/t·nm),,1309.63,,4198.68,4017.09,0.0,0.0,181.59,309.03,3708.06,,1600.0,70.76,,,,226.86,,,,,1600.0,,,,,,,,,,,,,,,,PHIVOS,Ro-pax ship,99.0,17.0,4.3 m,1980.0,3437.0,1147.0,,,,15.7,14.6
42,7826788,RIGEL II,Ro-pax ship,EIV (127.22 gCO₂/t·nm),,3596.18,,11522.31,0.0,5555.76,5589.44,380.23,7107.63,4414.68,,1295.42,193.83,,,,621.05,,,,,1295.42,,,,,,,,,,,,,,,,RIGEL II,Ro-pax ship,146.0,26.0,5.5 m,1980.0,23842.0,2800.0,B&W,8K45,21471 KW,13.3,6.6
43,7826790,GNV AZZURRA,Ro-pax ship,EIV (42.5 gCO₂/t·nm),IC,1161.96,,3671.87,2038.15,480.02,966.85,186.85,,3671.87,,453.0,186.36,,,,588.91,,,,0.0,453.0,0.0,,,,,,,,,,,,,,,GNV AZZURRA,Ro-pax ship,168.0,26.0,5.4 m,1981.0,30316.0,3630.0,B&W,,5367 KW,18.1,12.7
44,7826855,URD,Ro-pax ship,EIV (32.44 gCO₂/t·nm),IC,6340.75,,19991.82,18993.85,0.0,0.0,998.0,5307.8,14684.02,,5629.55,77.81,,,,245.32,,,,0.0,5629.55,0.0,,,,,,,,,,,,,,,URD,Ro-pax ship,171.0,20.0,5 m,1981.0,13144.0,4562.0,,,9708 KW,13.9,13.2
45,7826867,STENA GOTHICA,Ro-pax ship,EIV (33.46 gCO₂/t·nm),IC,7274.47,,22933.31,21625.86,0.0,0.0,1307.45,5962.66,16970.65,,5988.02,81.14,,,,255.79,,,,0.0,5988.02,0.0,,,,,,,,,,,,,,,STENA GOTHICA,Ro-pax ship,171.0,20.0,5.2 m,1982.0,13294.0,4550.0,Wartsila,12V32E,9840 KW,15.7,13
46,7827213,CELESTYAL CRYSTAL,Passenger ship,Not Applicable,,2535.58,,7945.53,6852.7,0.0,0.0,1092.85,,,,1324.28,210.93,,,,660.97,,,,,1324.28,,,,,,,,,,,,,,,,CELESTYAL CRYSTAL,Passenger ship,162.0,24.0,6.2 m,1980.0,25611.0,2216.0,Wartsila,12PC2.6 V400,19278 KW,11.7,11
47,7827225,REGINA BALTICA,Ro-pax ship,EIV (32.1 gCO₂/t·nm),,8955.55,,28540.72,632.11,12151.03,12911.98,2845.59,22897.49,2797.65,,4026.92,151.46,,,,482.69,,,,,4026.92,,,,,,,,,,,,,,,,REGINA BALTICA,Ro-pax ship,145.0,25.0,5.4 m,1980.0,18345.0,2830.0,Pielstick,18PC2-5V,19124 KW,16.9,15.3
48,7901265,ROSELLA,Ro-pax ship,EIV (19 gCO₂/t·nm),IA,6389.0,,20472.02,17700.0,0.0,0.0,2760.0,13229.53,4486.75,,3683.0,118.98,,,,381.23,,,,,3683.0,,,,,,,,,,,,,,,,ROSELLA,Ro-pax ship,136.0,24.0,,1980.0,16879.0,2300.0,,,,,
49,7901760,STENA EUROPE,Ro-pax ship,EIV (32.85 gCO₂/t·nm),IC,6608.18,,21185.82,172.7,9542.3,9831.23,1639.58,12605.57,8580.25,,3709.84,114.49,,,,367.04,,,,0.0,3709.84,0.0,,,,,,,,,,,,,,,STENA EUROPE,Ro-pax ship,149.0,26.0,6.1 m,1981.0,24828.0,2692.0,Wartsila,VASA 16V32D,15360 KW,19.8,18.1
50,7903029,NEAMEH,Other ship types,EIV (47.73 gCO₂/t·nm),,351.3,,1110.21,0.0,747.44,358.59,4.16,,,,631.36,57.59,164.52,,Division by zero!,182,519.93,,Division by zero!,,631.36,,,,,,,,,,,,,,,,NEAMEH,Other ship types,105.0,17.0,6.2 m,1979.0,6398.0,3240.0,,,,11.4,9.5
51,7907245,STENA DANICA,Ro-pax ship,EIV (41.24 gCO₂/t·nm),IB,9778.32,,31349.3,27883.47,0.0,0.0,3465.81,14884.66,16464.64,,4517.77,155.34,,,,498.02,,,,0.0,4517.77,0.0,,,,,,,,,,,,,,,STENA DANICA,Ro-pax ship,154.0,28.0,6.5 m,1983.0,29289.0,2950.0,,,,16.6,15.9
52,7907659,STENA VISION,Ro-pax ship,EIV (33.71 gCO₂/t·nm),IB,18902.18,,59764.77,57907.87,0.0,0.0,1856.91,37902.84,21861.93,,7083.36,167.82,,,,530.6,,,,0.0,7083.36,0.0,,,,,,,,,,,,,,,STENA VISION,Ro-pax ship,175.0,30.0,,1987.0,39191.0,5129.0,,,,,
53,7907661,STENA SPIRIT,Ro-pax ship,EIV (33.39 gCO₂/t·nm),IB,16410.46,,51886.86,50638.94,0.0,0.0,1247.95,32688.75,19198.11,,6843.03,153,,,,483.76,,,,0.0,6843.03,0.0,,,,,,,,,,,,,,,STENA SPIRIT,Ro-pax ship,175.0,30.0,,1988.0,39193.0,5102.0,,,,,
54,7911533,MOBY DADA,Ro-pax ship,EIV (5.45 gCO₂/t·nm),IA Supper,8412.26,,26410.58,21466.91,0.0,0.0,4943.67,21392.57,5018.01,,2306.63,228.09,,,,716.08,,,,,2306.63,,,,,,,,,,,,,,,,MOBY DADA,Ro-pax ship,163.0,29.0,6.5 m,1981.0,34093.0,3898.0,Pielstick,12PC2-5V,23960 KW,14.1,12.4
55,7911545,SAGA,Ro-pax ship,EIV (31.1 gCO₂/t·nm),IA Supper,3272.64,,10426.17,4774.74,2714.5,2662.55,274.37,7089.78,3336.39,,3067.79,225.66,,,,718.91,,,,0.0,3067.79,0.0,,,,,,,,,,,,,,,SAGA,Ro-pax ship,166.0,29.0,6.6 m,1981.0,33967.0,3898.0,,,,20.4,10.8
56,7927984,CELESTYAL OLYMPIA,Passenger ship,Not Applicable,,2935.02,,9185.35,7993.69,0.0,0.0,1191.65,,,,940.07,214.02,,,,669.79,,,,,940.07,,,,,,,,,,,,,,,,CELESTYAL OLYMPIA,Passenger ship,214.0,32.0,6.9 m,1982.0,37773.0,5000.0,Wartsila,,16488 KW,14.5,12.4
57,7928811,ALMARIYA,Ro-pax ship,EIV (19.79 gCO₂/t·nm),IA,467.67,,1473.84,107.83,647.32,608.12,110.56,1473.84,1473.84,,279.81,148.42,,,,467.74,,,,,279.81,,,,,,,,,,,,,,,,ALMARIYA,Ro-pax ship,153.0,24.0,5.8 m,1981.0,21473.0,2880.0,Pielstick,-,15300 KW,16.2,14.4
58,7931454,EAGLE,Other ship types,Not Applicable,,2562.0,,8005.36,1488.34,2797.58,3495.27,224.16,,,,1568.75,143.72,,,65.32,449.06,,,204.1,,1568.75,,,,,,,,,,,,,,,,EAGLE,Other ship types,199.0,42.0,8.7 m,1981.0,31021.0,88272.0,B&W,6L90GB,15100 KW,---,---
59,7931985,VICTORY,Other ship types,EIV (20.53 gCO₂/t·nm),,249.9,,790.98,0.0,446.0,333.0,11.0,,,,389.0,57.45,71.79,,33.69,181.83,227.22,,106.62,,389.0,,,,,,,,,,,,,,,,VICTORY,Other ship types,120.0,21.0,5.8 m,1981.0,12630.0,6805.0,,,,14,13
60,7931997,BALTIVIA,Ro-pax ship,EIV (39.45 gCO₂/t·nm),,6213.63,,19692.88,16107.58,0.0,0.0,3585.3,393.85,19299.03,,3500.27,134.65,,,,426.75,,,,,3500.27,,,,,,,,,,,,,,,,BALTIVIA,Ro-pax ship,146.0,24.0,5.8 m,1981.0,17790.0,5309.0,Pielstick,8PC2-5L,15420 KW,15.9,12.1
61,8000226,WASA EXPRESS,Ro-pax ship,EIV (42.6 gCO₂/t·nm),IA,4922.86,,15782.69,9512.99,2463.01,1542.73,2263.92,4734.81,11047.88,,3412.83,109.47,,,,350.96,,,,0.0,3412.83,0.0,,,,,,,,,,,,,,,WASA EXPRESS,Ro-pax ship,137.0,22.0,,1981.0,17053.0,4150.0,,,,,
62,8000836,KUBROSLI Y,General cargo ship,EIV (13.47 gCO₂/t·nm),IC,791.4,,2537.23,44.0,1089.0,1354.0,51.0,,,,1778.0,54.89,8.57,,8.42,175.98,27.46,,26.98,,1778.0,,,,,,,,,,,,,,,,KUBROSLI Y,General cargo ship,138.0,18.0,,1981.0,7788.0,11990.0,Werkspoor,,4840 KW,,
63,8001024,CSL ELBE,Bulk carrier,EIV (11.21 gCO₂/t·nm),IA,2339.97,,7501.94,5283.42,90.83,29.11,2098.58,,,,3547.65,58.4,11.52,,,187.23,36.94,,,,3547.65,,,,,,,,,,,,,,,,CSL ELBE,Bulk carrier,117.0,20.0,,1982.0,6944.0,10110.0,,,,,
64,8009076,GULF LIVESTOCK 2,Other ship types,EIV (56.05 gCO₂/t·nm),,2701.88,,8493.66,0.0,4171.55,4051.78,270.33,,,,3734.9,75.98,87.66,,Division by zero!,238.85,275.58,,Division by zero!,,3734.9,,,,,,,,,,,,,,,,GULF LIVESTOCK 2,Other ship types,121.0,21.0,5.1 m,1985.0,12072.0,4734.0,,,,11.8,9.7
65,8009545,SIRIOS CEMENT I,Other ship types,EIV (7.95 gCO₂/t·nm),,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,Division by zero!,Division by zero!,,Division by zero!,Division by zero!,Division by zero!,,Division by zero!,,0.0,,,,,,,,,,,,,,,,SIRIOS CEMENT I,Other ship types,138.0,21.0,4.7 m,1981.0,8180.0,13550.0,,,,9.4,7.9
66,8019368,VESTERALEN,Ro-pax ship,EIV (59.9 gCO₂/t·nm),,4096.69,,13133.98,12851.85,0.0,0.0,282.13,11689.23,1444.75,,6603.73,48.13,,,,154.32,,,,,6603.73,,,,,,,,,,,,,,,,VESTERALEN,Ro-pax ship,108.0,16.0,4.7 m,1983.0,6261.0,900.0,,,,---,---
67,8020599,AKRITAS,Ro-ro ship,EIV (13.68 gCO₂/t·nm),IA Supper,6818.42,,21656.67,14951.31,2881.1,2617.65,1206.62,,,,5648.0,94.18,61.8,,,299.13,196.28,,,,5648.0,,,,,,,,,,,,,,,,AKRITAS,Ro-ro ship,155.0,25.0,6.6 m,1982.0,20381.0,13030.0,Pielstick,12PC2-5V-400,17400 KW,13.8,12.3
68,8020642,MOBY ZAZA',Ro-pax ship,EIV (7.76 gCO₂/t·nm),IB,3103.72,,9907.29,7371.79,0.0,0.0,2535.5,8005.07,1902.22,,1130.9,199.52,,,,636.88,,,,,1130.9,,,,,,,,,,,,,,,,MOBY ZAZA',Ro-pax ship,154.0,24.0,5.5 m,1982.0,22161.0,2880.0,Pielstick,8PC2L-400,15308 KW,14.2,13.5
69,8020927,PREVELIS,Ro-pax ship,EIV (42.84 gCO₂/t·nm),,6583.57,,20624.85,18818.99,0.0,0.0,1805.86,284.14,20340.71,,5004.83,87.35,,,,273.63,,,,,5004.83,,,,,,,,,,,,,,,,PREVELIS,Ro-pax ship,142.0,23.0,5.8 m,1980.0,15354.0,3300.0,,,,16.6,15.8
