,IMO,Name,Ship type,Technical efficiency,Ice Class,Total fuel consumption [m tonnes],Fuel consumptions assigned to On laden [m tonnes],Total CO₂ emissions [m tonnes],CO₂ emissions from all voyages between ports under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages which departed from ports under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages to ports under a MS jurisdiction [m tonnes],CO₂ emissions which occurred within ports under a MS jurisdiction at berth [m tonnes],CO₂ emissions assigned to Passenger transport [m tonnes],CO₂ emissions assigned to Freight transport [m tonnes],CO₂ emissions assigned to On laden [m tonnes],Annual Time spent at sea [hours],Annual average Fuel consumption per distance [kg / n mile],Annual average Fuel consumption per transport work (mass) [g / m tonnes · n miles],Annual average Fuel consumption per transport work (volume) [g / m³ · n miles],Annual average Fuel consumption per transport work (dwt) [g / dwt carried · n miles],Annual average CO₂ emissions per distance [kg CO₂ / n mile],Annual average CO₂ emissions per transport work (mass) [g CO₂ / m tonnes · n miles],Annual average CO₂ emissions per transport work (volume) [g CO₂ / m³ · n miles],Annual average CO₂ emissions per transport work (dwt) [g CO₂ / dwt carried · n miles],Through ice [n miles],Time spent at sea [hours],Total time spent at sea through ice [hours],Fuel consumption per distance on laden voyages [kg / n mile],Fuel consumption per transport work (mass) on laden voyages [g / m tonnes · n miles],Fuel consumption per transport work (volume) on laden voyages [g / m³ · n miles],Fuel consumption per transport work (dwt) on laden voyages [g / dwt carried · n miles],Fuel consumption per transport work (pax) on laden voyages [g / pax · n miles],Fuel consumption per transport work (freight) on laden voyages [g / m tonnes · n miles],CO₂ emissions per distance on laden voyages [kg CO₂ / n mile],CO₂ emissions per transport work (mass) on laden voyages [g CO₂ / m tonnes · n miles],CO₂ emissions per transport work (volume) on laden voyages [g CO₂ / m³ · n miles],CO₂ emissions per transport work (dwt) on laden voyages [g CO₂ / dwt carried · n miles],CO₂ emissions per transport work (pax) on laden voyages [g CO₂ / pax · n miles],CO₂ emissions per transport work (freight) on laden voyages [g CO₂ / m tonnes · n miles],Additional information to facilitate the understanding of the reported average operational energy efficiency indicators,Average density of the cargo transported [m tonnes / m³],name,ship_type,length,breadth,draught,year_built,gross_tonnage,deadweight,engine_type,engine_model,engine_power,max_speed,avg_speed
3770,9359258,EMOTION,Container ship,EIV (21.51 gCO₂/t·nm),IA,5151.65,,16252.58,14758.53,0.0,0.0,1494.06,,,,4358.17,99.7,9.14,,,314.54,28.82,,,0.0,4358.17,0.0,,,,,,,,,,,,,,,EMOTION,Container ship,170.0,25.0,8.1 m,2008.0,15924.0,20091.0,MAN-B&W,8S50MC-C,12640 KW,13.4,13.1
3771,9359260,CHRISTOPHER,Container ship,EIV (22.43 gCO₂/t·nm),IA,4302.08,,13577.95,11474.89,383.16,56.09,1663.82,,,,4396.0,82.33,7.84,,,259.86,24.74,,,,4396.0,,,,,,,,,,,,,,,,CHRISTOPHER,Container ship,170.0,25.0,,2008.0,16023.0,20073.0,MAN-B&W,8S50MC-C,12640 KW,,
3772,9359363,STOLT FACTO,Chemical tanker,EIV (7.77 gCO₂/t·nm),,1401.8,,4393.6,542.87,1806.63,1646.75,397.34,,,,1261.47,102.64,3.16,,,321.69,9.92,,,,1261.47,,,,,,,,,,,,,,,,STOLT FACTO,Chemical tanker,183.0,32.0,11.7 m,2010.0,26328.0,46105.0,,,,15.1,12.7
3773,9359375,STOLT SISTO,Chemical tanker,EIV (7.78 gCO₂/t·nm),,3613.1,,11347.28,1841.96,4528.12,3535.76,1441.42,,,,2966.07,113.44,4.44,,,356.28,13.96,,,,2966.07,,,,,,,,,,,,,,,,STOLT SISTO,Chemical tanker,183.0,32.0,10.5 m,2010.0,26329.0,46011.0,,,,13.6,10
3774,9359571,CALAJUNCO M,Oil tanker,EIV (14.32 gCO₂/t·nm),,3859.9,,12068.98,10532.5,0.0,0.0,1537.9,,,,3215.2,115.84,16.83,,,362.2,52.62,,,,3215.2,,,,,,,,,,,,,,,,CALAJUNCO M,Oil tanker,161.0,23.0,7 m,2007.0,13671.0,21665.0,,,,13.9,12.8
3775,9359583,CANNETO M,Oil tanker,EIV (14.85 gCO₂/t·nm),,3014.9,,9445.94,7576.22,198.4,43.58,1628.24,,,,3184.5,107.39,17.11,,,336.45,53.6,,,,3184.5,,,,,,,,,,,,,,,,CANNETO M,Oil tanker,161.0,23.0,7 m,2008.0,13671.0,21600.0,,,,---,---
3776,9359600,MESABI,Chemical tanker,EIV (11.41 gCO₂/t·nm),,650.12,362.82,2036.94,0.0,1132.38,869.68,34.89,,,1132.37,964.69,65.72,8.9,,,205.92,27.9,,,,964.69,,55.9,4.97,,,,,174.48,15.51,,,,,,,MESABI,Chemical tanker,127.0,20.0,,2006.0,8450.0,12934.0,,,,,
3777,9359791,MSC FANTASIA,Passenger ship,EIV (3.3 gCO₂/t·nm),,14078.0,,44554.44,23535.0,0.0,0.0,21022.0,,,,1714.24,794.16,,,,2513.39,,,,,1714.24,,,,,,,,,,,,,,CO2 emissions calculations based on fuel consumption and relevant parameters.,,MSC FANTASIA,Passenger ship,333.0,37.0,8.6 m,2008.0,137936.0,12614.0,MAN-B&W,6S50MC-C,80500 KW,22.1,17.9
3778,9359806,MSC SPLENDIDA,Passenger ship,EIV (3.08 gCO₂/t·nm),,25120.0,,78667.51,56032.0,4025.0,0.0,18609.0,,,,3779.42,505.66,,,,1583.55,,,,,3779.42,,,,,,,,,,,,,,CO2 emissions calculations based on fuel consumption and relevant parameters.,,MSC SPLENDIDA,Passenger ship,333.0,37.0,8.6 m,2009.0,137936.0,13413.0,,,,16.6,11.8
3779,9359935,THORCO ANGELA,General cargo ship,EIV (21 gCO₂/t·nm),,1527.64,,4783.3,0.0,1469.43,3183.93,129.94,,,,1964.93,63.44,,,7.09,198.65,,,22.19,,1964.93,,,,,,,,,,,,,,,,THORCO ANGELA,General cargo ship,139.0,21.0,,2007.0,9938.0,12605.0,MAK,6S46MC-C,7860 KW,,
3780,9359959,BOCS SPIRIT,General cargo ship,EIV (22.63 gCO₂/t·nm),IC,2813.1,,8845.65,2255.61,3220.84,2319.08,1050.12,,,,2884.63,74.08,10.77,,8.52,232.95,33.85,,26.78,,2884.63,,,,,,,,,,,,,,,,BOCS SPIRIT,General cargo ship,139.0,21.0,8.2 m,2008.0,9938.0,12576.0,MAN-B&W,6S46MC-C,8970 KW,15.3,13.9
3781,9359961,BOCS VISION,General cargo ship,EIV (22.54 gCO₂/t·nm),IC,2640.6,,8250.71,1799.66,2696.52,3133.09,621.44,,,,2826.6,73.71,10.28,,7.65,230.31,32.13,,23.91,,2826.6,,,,,,,,,,,,,,,,BOCS VISION,General cargo ship,139.0,21.0,7.3 m,2008.0,9938.0,12633.0,MAN-B&W,6S46MC-C,8670 KW,13.1,11.7
3782,9360142,CMA CGM HERODOTE,Container ship,EIV (25.1 gCO₂/t·nm),,1125.9,1061.4,3552.65,1527.49,1391.62,426.76,206.78,,,3345.87,982.1,119.94,11.3,,,378.46,35.64,,,,982.1,,113.07,10.65,,,,,356.44,33.57,,,,,,,CMA CGM HERODOTE,Container ship,170.0,27.0,,2007.0,17594.0,18860.0,MAN-B&W,8K80ME-C,15820 KW,,
3783,9360192,BBC DOLPHIN,General cargo ship,EIV (20.05 gCO₂/t·nm),,934.4,,2953.2,77.6,1419.6,1258.1,197.8,,,,1302.0,58.56,Division by zero!,,13.63,185.1,Division by zero!,,43.07,,1302.0,,,,,,,,,,,,,,,,BBC DOLPHIN,General cargo ship,119.0,20.0,5.2 m,2007.0,7223.0,7996.0,,,,14.3,12.2
3784,9360207,BBC DART,General cargo ship,EIV (20.05 gCO₂/t·nm),,1812.7,,5726.36,751.1,3451.9,1375.2,148.0,,,,2634.0,52.52,Division by zero!,,13.13,165.9,Division by zero!,,41.48,,2634.0,,,,,,,,,,,,,,,,BBC DART,General cargo ship,119.0,20.0,5.5 m,2008.0,7223.0,7968.0,MAK,6M43C,5400 KW,16.6,12.3
3785,9360221,HERCULES 500,Oil tanker,EIV (17.95 gCO₂/t·nm),,559.08,,1792.41,289.66,525.22,463.15,514.37,,,,1335.92,52.89,10.43,,,169.58,33.44,,,,1335.92,,,,,,,,,,,,,,,,HERCULES 500,Oil tanker,110.0,18.0,4.9 m,2006.0,5184.0,9466.0,Daihatsu,Daihatsu,6200 KW,7.2,4
3786,9360336,RIDGEBURY SATURN,Chemical tanker,EIV (5.88 gCO₂/t·nm),,1558.3,749.2,4956.65,1175.0,2376.3,1111.04,294.31,,,2376.3,1492.6,105.07,5.44,,,334.21,17.31,,,,1492.6,,94.97,2.62,,,,,301.22,8.3,,,,,,,RIDGEBURY SATURN,Chemical tanker,183.0,32.0,,2007.0,29266.0,49999.0,,,,,
